ligand_id,SMILES,dG_bind,dG_bind_err
0,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cccc1Cl,-2.995,0.455
1,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccccc1Cl,8.731,0.462
2,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccccc1Cl,3.316,0.448
3,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cc(Cl)cc1Cl,-0.07,0.462
4,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(Cl)ccc1Cl,3.431,0.449
5,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)cccc1Cl,-5.422,0.442
6,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,7.269,0.444
7,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1c(Cl)cccc1Cl,-4.153,0.459
8,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,3.537,0.455
9,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(Cl)ccc1Cl,1.586,0.458
10,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(Cl)cc1Cl,5.724,0.45
11,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(Cl)c1,6.914,0.438
12,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)cccc1Cl,-0.857,0.452
13,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,19.081,0.466
14,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)cccc1Cl,0.63,0.462
15,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,10.138,0.454
16,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Br,-0.645,0.451
17,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCCC3)c2)c(Cl)c1,9.227,0.492
18,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cccc1Cl,-8.012,0.452
19,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,8.816,0.468
20,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,6.265,0.466
21,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-0.576,0.471
22,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,2.563,0.477
23,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(Cl)cc1Cl,5.222,0.463
24,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1c(Cl)cccc1Cl,1.475,0.455
25,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cccc1Br,6.155,0.459
26,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(Cl)cccc1Cl,-1.324,0.465
27,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,9.788,0.488
28,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(F)ccc1Cl,-1.945,0.443
29,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c1,2.782,0.445
30,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,4.116,0.474
31,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,17.112,0.448
32,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,4.443,0.445
33,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,9.898,0.459
34,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cc(NC(=O)C2CC2)cc1Cl,0.37,0.524
35,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1cc(F)ccc1Cl,7.031,0.463
