canonical_smiles,molregno,mol_chembl_id,standard_relation,standard_value,standard_type,standard_units,description,organism,assay_type,confidence_score,pref_name,tgt_chembl_id
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,72035,CHEMBL45816,=,1430.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in COS-7 African green monkey kidney derived cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,112651,CHEMBL1008,=,550.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in COS-7 African green monkey kidney derived cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O,1788,CHEMBL32,=,129000.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O,1712,CHEMBL31,=,130000.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3c(C)c2F)C4CC4,17136,CHEMBL583,=,104000.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,208679,CHEMBL123558,=,560.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CN(C)CCCN1c2ccccc2CCc3ccccc13,605,CHEMBL11,=,3400.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O,65351,CHEMBL850,=,34400.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,6216,CHEMBL71,=,1470.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
Cl.CSc1ccc(cc1)[C@H]2N=C(OCc3ccc(NS(=O)(=O)C)cc3)N(C)Cc4ccccc24,1368355,CHEMBL2093896,=,21000.000000000000000000000000000000,IC50,nM,Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes,Homo sapiens,F,8,HERG,CHEMBL240
Cl.CSc1ccc(cc1)[C@@H]2N=C(OCc3ccc(NS(=O)(=O)C)cc3)N(C)Cc4ccccc24,1798842,CHEMBL3350235,=,56000.000000000000000000000000000000,IC50,nM,Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes,Homo sapiens,F,8,HERG,CHEMBL240
