smiles,pIC50
Brc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,6.25
Brc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1,5.03
Brc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C4CC4)CC2)cc1,5.15
Brc1ccc(cc1)N(C2CCN(CC2)C3CCCC3)C(=O)NCc4ccccc4,6.75
Brc1ccc(cc1)N(C2CCN(CC2)C3CCCC3)C(=O)Nc4ccccc4,6.73
Brc1ccc(cc1)N(C2CCN(Cc3ccncc3)CC2)C(=O)NCc4ccccc4,5.64
Brc1ccc(cc1)N(C2CCN(Cc3ccnnc3)CC2)C(=O)NCc4ccccc4,4.86
Brc1ccc(cc1)[C@@H]2C[C@@H](CC[C@H]2C(=O)N3CC(C3)(c4ccccc4)c5ccccc5)N6CCOCC6,6.54
Brc1ccc(cc1)[C@@H]2C[C@@H](CC[C@H]2C(=O)NC(c3ccccc3)c4ccccc4)N5CCOCC5,6.28
Brc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,8.60
Brc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,5.55
Brc1ccc2Oc3cc(Cn4cncc4CN[C@@H]5CCN(Cc1c2)C5=O)ccc3C#N,5.34
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,5.60
Brc1cccc2nc(ccc12)C#Cc3ccccn3,4.64
Brc1cnc2nc(oc2c1)N3CCN4CCC3CC4,5.64
Brc1cncc(COCC2(CCNCC2)c3ccccc3)c1,4.82
Brc1cncc(c1)C(=O)N2CCC(NCc3cncn3Cc4ccc(cc4)C#N)C2=O,5.22
Brc1cncc(c1)C(=O)N2CC[C@H](NCc3cncn3Cc4ccc(cc4)C#N)C2=O,5.22
C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3,5.11
C(C(N1CCNCC1)c2ccccc2)c3cccc4CCOc34,4.67
C(C(N1CCNCC1)c2ccccc2)c3ccccc3OC4CC4,5.19
C(C(c1cccnc1)c2cccnc2)c3ccccc3c4ccccc4,5.12
C(C(c1cccnc1)c2cccnc2)c3ccccc3c4ccncc4,4.66
C(C(c1cccnc1)c2cccnc2)c3ccccc3c4cncc5ccccc45,4.92
C(C1CCCCN1)N2CCN(C2)c3ccccc3,4.80
C(C1COc2ccccc2C1)N3CCC4(CC3)CCc5ccccc45,5.82
C(CC(c1ccccc1)c2ccccc2)NCCc3ccccc3,5.53
C(CCc1ccc(OCCCN2CCCCCC2)cc1)CN3CCN(CC3)c4cccc5cccnc45,5.80
C(CN(Cc1nccc2c3ccccc3n(CCN4CCOCC4)c12)C5CCCc6cccnc56)CN7CCNCC7,5.51
C(CN(c1ccccc1)c2ccccc2)NCCc3ccccc3,7.20
C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5ccc(COC\C=C\COCc2c3)s5,5.14
C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5ccnc(OCC\C=C\COCc2c3)c5,5.62
C(CN1CCCCC1)Oc2ccc(Oc3oc4ccccc4n3)cc2,6.00
C(CNCCC(c1ccccc1)c2ccccc2)Cc3ccccc3,7.78
C(CNCCN(c1ccccc1)c2ccccc2)Cc3ccccc3,6.22
C(COc1ccc(CCCN2CCN(CC2)c3cccc4cccnc34)cc1)CN5CCCCCC5,6.00
C(COc1ccc(CCN2CCN(CC2)c3cccc4cccnc34)cc1)CN5CCCCCC5,5.10
C(COc1ccc(cc1)[C@H]2Oc3ccccc3S[C@H]2c4ccccc4)CN5CCCC5,7.92
C(COc1ccc(cc1)c2ccccc2)CN3CCCCC3,6.38
C(C[C@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4cccs4,5.64
C(Cc1ccc(OCc2ccccc2)cc1)Nc3ccncc3,6.89
C(Cc1ccc(Oc2nc3ccccc3s2)cc1)N4CCCCC4,5.70
C(Cc1ccc2nonc2c1)N3CCN(CCc4ccc5nonc5c4)CC3,7.17
C(Cc1cccc(CCc2ccccc2)n1)c3ccccc3,5.79
C(N1CCC(CC1)Oc2ncnc3c2ccn3Cc4ccccc4)c5cscn5,6.12
C(N1CCN(Cc2nc3ccccc3s2)CC1)c4oc(nn4)c5ccccc5,4.52
C(N1CCN(Cc2nc3ccccc3s2)CC1)c4onc(n4)c5ccccc5,4.89
C(N1CCN(Cc2oc(nn2)c3ccccc3)CC1)c4ccccc4,4.56
C(N1CCN(Cc2onc(n2)c3ccccc3)CC1)c4ccccc4,4.90
C(Oc1ccccc1)C#Cc2cc(cs2)c3n[nH]c4c3Cc5cc(Cn6ccnc6)ccc45,5.84
C(Oc1ccccc1)c2cccc(COc3ccccc3)n2,7.13
C(Oc1ccccc1CC(N2CCNCC2)c3ccccc3)C4CC4,5.53
C(S\C(=N/C1CCCCC1)\NC2CCCCC2)C3=CSC4=NCCN34,5.07
C([C@@H]1C[C@@H](C1)c2ccc(CN3CCCC3)cc2)N4CCOCC4,3.52
C(c1ccccc1)C2(CCNC2)c3ccc4[nH]ccc4c3,5.05
C(c1ccccc1)C2(CCNC2)c3ccc4sccc4c3,4.96
C1CC(CCN1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,5.29
C1CC(CCO1)C2NC(Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)C67CC8CC(CC(C8)C6)C7,6.30
C1CC(CCO1)[C@@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,6.14
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(cc6)c7ccccc7,7.77
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,6.42
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccn6,5.40
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cccnc6,5.57
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccncc6,5.12
