"Scaffold","Title","Molecule ChEMBL ID","Compound Key","Smiles","Src-IC50","Standard Units","Reference_IC50","Xray","ddG","IC50_b_theor(nM)","Inhibitor Type"
1,"PP371_0_12_nM","CHEMBL1241676","PP371","Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCCC1",0.12,"nM",75,"3EN4",-2.6380593446679015,"0.8979970201387161","Type 1"
1,"PP379_0_55_nM","CHEMBL1242568","PP379","Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCC1",0.55,"nM",75,"3EN4",-0.7283755015192068,"22.102974227863783","Type 1"
1,"PP421_1_nM","CHEMBL1242656","PP421","CC1CCC(n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1",1,"nM",75,"3EN4",-1.770488552395321,"3.8484611567973293","Type 1"
1,"PP428_2_nM","CHEMBL1241678","PP428","Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@H]1CCOC1",2,"nM",75,"3EN4",-1.1579290346977942,"10.752945868569201","Type 1"
1,"PP358_4_nM","CHEMBL1241484","PP358","CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21",4,"nM",75,"3EN4",-1.876332078262394,"3.2224166908538296","Type 1"
1,"PP423_4_nM","CHEMBL1242202","PP423","COc1ccc(-c2nn(C3CCC(C)C3)c3ncnc(N)c23)cc1O",4,"nM",75,"3EN4",-0.7395285638921794,"21.69331287112369","Type 1"
1,"PP323_4_3_nM","CHEMBL1242026","PP323","Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O",4.3,"nM",75,"3EN4",-2.1237485232675226,"2.127857581057715","Type 1"
1,"PP79_5_nM","CHEMBL1242199","PP79","Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2C1CCCC1",5,"nM",75,"3EN4",-1.237034058089852,"9.416741427434815","Type 1"
1,"PP349_6_3_nM","CHEMBL1242201","PP349","COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O",6.3,"nM",75,"3EN4",-0.6019080860143794,"27.326267689786878","Type 1"
1,"PP262_6_9_nM","CHEMBL1242377","PP262","CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21",6.9,"nM",75,"3EN4",-0.39133809446668133,"38.90248780401835","Type 1"
1,"PP430_7_nM","CHEMBL1241768","PP430","Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCOC1",7,"nM",75,"3EN4",-0.4259641233165238,"36.70733340728699","Type 1"
1,"PP491_9_5_nM","CHEMBL1242287","PP491","Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1",9.5,"nM",75,"3EN4",-2.174649517541987,"1.9537183331865275","Type 1"
1,"PP487_10_nM","CHEMBL1241578","PP487","CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21",10,"nM",75,"3EN4",-1.9151357286521853,"3.019352548048826","Type 1"
1,"PP78_10_nM","CHEMBL1242111","PP78","Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1",10,"nM",75,"3EN4",-0.46499399120772933,"34.381131663737","Type 1"
1,"PP493_11_nM","CHEMBL1242376","PP493","Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCCC1",11,"nM",75,"3EN4",-2.841153271465827,"0.6387398895929257","Type 1"
1,"PP463_11_nM","CHEMBL1241580","PP463","Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCC1",11,"nM",75,"3EN4",-2.031832313685965,"2.4825735653349192","Type 1"
1,"PP281_11_nM","CHEMBL1241487","PP281","Nc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O",11,"nM",75,"3EN4",-0.7585710990586328,"21.01133662937476","Type 1"
1,"PP465_14_nM","CHEMBL1242750","PP465","Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCCC1",14,"nM",75,"3EN4",-0.5379290346977943,"30.422023008974747","Type 1"
1,"PP432_14_nM","CHEMBL1242748","PP432","Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCOC1",14,"nM",75,"3EN4",-0.7972015981086454,"19.693002951401482","Type 1"
1,"PP60_15_nM","CHEMBL1242024","PP60","Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12",15,"nM",75,"3EN4",0.86,"317.3644430795748","Type 1"
1,"S1_15_nM","CHEMBL1230790","S1","CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21",15,"nM",75,"3EN4",-0.5147027540922706,"31.630647690006537","Type 1"
1,"PP327_16_nM","CHEMBL1242109","PP327","CCC(C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21",16,"nM",75,"3EN4",-1.0933857659343642,"11.982467382789354","Type 1"
