entry,Base_SMILES,Base_Name,Ligand_SMILES,Ligand_Name,Solvent_SMILES,Solvent_Name,Concentration,Temp_C,yield
0,O=C([O-])C.[K+],KOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,105,5.47
1,O=C([O-])C.[K+],KOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,105,0.0
2,O=C([O-])C.[K+],KOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,105,78.95
3,O=C([O-])C.[K+],KOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,105,7.26
4,O=C([O-])C.[K+],KOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,105,28.15
5,O=C([O-])C.[K+],KOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,105,65.37
6,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,105,0.07
7,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,105,0.0
8,O=C([O-])C(C)(C)C.[K+],KOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,105,28.64
9,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,105,10.44
10,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,105,63.13
