SMILES,Name,Type
CNC(=O)c1n[nH]c(N)n1,19844301,primary_amine
N=C(N)CN1CC[C@H](O)C1,203414649,primary_amine
COC[C@@H](O)CN,2263862,primary_amine
NC(=O)CN1CCOCC1,20436848,primary_amine
CNC(=S)NC(=N)N,33691246,primary_amine
N[C@H]1COC[C@@H]1O,12957834,primary_amine
CN(C)C[C@@H](N)C(=O)O,35024242,primary_amine
Nc1nnn(CC(=O)O)n1,4294607,primary_amine
NC(=O)c1ncc[nH]c1=O,8657,primary_amine
N[C@H](CO)C(=O)O,895342,primary_amine
N=C(N)NC[C@@H](N)C(=O)O,1576365,carboxylic_acid
CN(C)C[C@@H](N)C(=O)O,35024242,carboxylic_acid
Nc1nnn(CC(=O)O)n1,4294607,carboxylic_acid
COC(=O)[C@@H](O)CC(=O)O,14585673,carboxylic_acid
N=C(N)NC[C@H](N)C(=O)O,2384694,carboxylic_acid
N[C@H](CO)C(=O)O,895342,carboxylic_acid
NCC[C@H](N)C(=O)O,52986906,carboxylic_acid
C[C@@H](O)[C@H](N)C(=O)O,895103,carboxylic_acid
NC(=O)[C@H](N)CCC(=O)O,2560808,carboxylic_acid
NCC(=O)NCCC(=O)O,1637970,carboxylic_acid
Nc1c(C(=O)O)[nH]c(=O)[nH]c1=O,1861052,aminobenzoic_acid
Cn1c(N)c(C(=O)O)c(=O)n(C)c1=O,26895819,aminobenzoic_acid
Nc1[nH][nH]c(=O)c1C(=O)O,19737344,aminobenzoic_acid
Nc1nc(C(=O)O)c(N)c(=O)[nH]1,4876898,aminobenzoic_acid
Cn1ncc(N)c1C(=O)O,2534273,aminobenzoic_acid
Nc1nc(N)c(C(=O)O)nc1Cl,21298040,aminobenzoic_acid
Nc1cnncc1C(=O)O,39083039,aminobenzoic_acid
Cn1ncc(C(=O)O)c1N,19850925,aminobenzoic_acid
Cn1c(N)c(C(=O)O)cnc1=O,5424162,aminobenzoic_acid
Nc1cncnc1C(=O)O,11804330,aminobenzoic_acid
